COL 1,COL 2,COL 3
'85: The Greatest Team in Football History,Fathom,124573.00
102 Not Out,Sony,1343797.00
10x10,VE,2263.00
10x10,VE,2263.00
10x10,VE,2263.00
10x10,VE,2263.00
10x10,VE,2263.00
12 Days,Distrib.,5204.00
12 Days,Distrib.,5204.00
12 Days,Distrib.,5204.00
12 Days,Distrib.,5204.00
12 Days,Distrib.,5204.00
12 Strong,WB,45819713.00
1991,EOne,2342264.00
2,N/A,4152000.00
2001: A Space Odyssey (2018 re-release),WB,3236321.00
24 Frames,Jan.,34482.00
3 Faces,KL,70035.00
306 Hollywood,El Tigre,18399.00
3100: Run and Become,Illumine,65524.00
311 Enlarged to Show Detail 3,Trafalgar,238791.00
350 Days - Legends. Champions. Survivors.,Fathom,47526.00
42nd Street: The Musical,Fathom,187440.00
7 Days in Entebbe,Focus,3326885.00
93Queen,Abr.,76056.00
A Boy. A Girl. A Dream.,Gold.,112552.00
A Bread Factory,ITF,17325.00
A Chance in the World - Premiere,Fathom,112007.00
A Ciambra,IFC,41934.00
A Cool Fish,CL,551876.00
A Dog's Journey,Uni.,18764470.00
A Dog's Way Home,Sony,42004346.00
A Fantastic Woman,SPC,2020988.00
A Kid Like Jake,IFC,58403.00
A Paris Education,KL,21598.00
A Private War,Aviron,1633208.00
A Quiet Place,Par.,188024361.00
A Silent Voice (2019 re-release),Fathom,333984.00
A Simple Favor,LGF,53548586.00
A Star is Born (2018),WB,215288866.00
A tous ceux qui ne me lisent pas,EOne,36506.00
A Tuba to Cuba,Blue Fox,114876.00
A Whale of a Tale,FLM,6747.00
A Whale of a Tale,FLM,6747.00
A Whale of a Tale,FLM,6747.00
A Whale of a Tale,FLM,6747.00
A Whale of a Tale,FLM,6747.00
A Wizard's Tale,Blue Fox,2150.00
A Wizard's Tale,Blue Fox,2150.00
A Wizard's Tale,Blue Fox,2150.00
A Wizard's Tale,Blue Fox,2150.00
A Wizard's Tale,Blue Fox,2150.00
A Wrinkle in Time,BV,100478608.00
A.X.L.,Global Road,6501381.00
Above and Beyond: NASA's Journey to Tomorrow,Fathom,74711.00
ACORN and the Firestorm,FRun,2621.00
ACORN and the Firestorm,FRun,2621.00
ACORN and the Firestorm,FRun,2621.00
ACORN and the Firestorm,FRun,2621.00
ACORN and the Firestorm,FRun,2621.00
Across the Universe (2018 re-release),Fathom,258618.00
Action Point,Par.,5059608.00
Active Measures,Super,19862.00
Adrift,STX,31445012.00
After (2019),Aviron,12137018.00
After Auschwitz,Passion Rive,73885.00
Agent Mr. Chan,CL,208351.00
Airpocalypse,CL,105678.00
Aladdin (2019),BV,185032174.00
Alien Intrusion: Unmasking a Deception,Fathom,237411.00
Alita: Battle Angel,Fox,85710210.00
All About Nina,Orch.,100335.00
All Is True,SPC,469770.00
Allegiance To Broadway (2018),Fathom,18527.00
Along with the Gods: The Last 49 Days,WGUSA,1200246.00
Alpha,Studio 8,35857181.00
Altered Perception,Cdgm.,1259.00
Altered Perception,Cdgm.,1259.00
Altered Perception,Cdgm.,1259.00
Altered Perception,Cdgm.,1259.00
Altered Perception,Cdgm.,1259.00
Always at the Carlyle,Good Deed,174251.00
Always Miss You,CL,91884.00
Amazing Grace (2019),Neon,4212127.00
American Animals,Orch.,2856954.00
American Chaos,SPC,12368.00
American Dream: Detroit,Fathom,55092.00
American Dresser,Cdgm.,3895.00
American Dresser,Cdgm.,3895.00
American Dresser,Cdgm.,3895.00
American Dresser,Cdgm.,3895.00
American Dresser,Cdgm.,3895.00
American Socialist: The Life & Times of Eugene Victor Debs,FRun,12609.00
An Acceptable Loss,IFC,32427.00
An Actor Prepares,Grav.,1743.00
An Actor Prepares,Grav.,1743.00
An Actor Prepares,Grav.,1743.00
An Actor Prepares,Grav.,1743.00
An Actor Prepares,Grav.,1743.00
An Elephant Sitting Still,KS,32556.00
An Evening with Beverly Luff Linn,TFA,6701.00
An Evening with Beverly Luff Linn,TFA,6701.00
An Evening with Beverly Luff Linn,TFA,6701.00
An Evening with Beverly Luff Linn,TFA,6701.00
An Evening with Beverly Luff Linn,TFA,6701.00
An Interview with God,Fathom,1201434.00
An L.A. Minute,Strand,5004.00
An L.A. Minute,Strand,5004.00
An L.A. Minute,Strand,5004.00
An L.A. Minute,Strand,5004.00
An L.A. Minute,Strand,5004.00
Andhadhun,Eros,1193046.00
Andrei Rublev (re-release),Jan.,102021.00
Andy Irons: Kissed by God,Fathom,285933.00
Aniara,Magn.,38342.00
Anna and the Apocalypse,Orion,545597.00
Annihilation,Par.,32732301.00
Ant-Man and the Wasp,BV,216648740.00
Antonio Lopez 1970: Sex Fashion & Disco,FM,43169.00
Anything,Pala.,19037.00
Apocalypsis,Indic.,20052.00
