id,name,Gross,company
1,Avengers: Endgame,815501784,BV
2,Captain Marvel,426181433,BV
3,Aladdin (2019),185032174,BV
4,Us,174891780,Uni.
5,How to Train Your Dragon: The Hidden World,160596575,Uni.
6,Shazam!,138690400,WB (NL)
7,Pokemon Detective Pikachu,130601211,WB
8,John Wick: Chapter 3 - Parabellum,125752812,LG/S
9,Dumbo (2019),113754882,BV
10,Glass,111035005,Uni.
11,The Upside,108252517,STX
12,The LEGO Movie 2: The Second Part,105806508,WB
13,Alita: Battle Angel,85710210,Fox
14,Tyler Perry's A Madea Family Funeral,73257045,LGF
15,Escape Room,57005601,Sony
16,Pet Sematary (2019),54724696,Par.
17,What Men Want,54611903,Par.
18,The Curse of La Llorona,54090245,WB (NL)
19,Godzilla: King of the Monsters,49025000,WB
20,Isn't It Romantic,48791187,WB (NL)
21,Five Feet Apart,45729221,LGF
22,Wonder Park,45216793,Par.
23,A Dog's Way Home,42004346,Sony
24,Little,40553130,Uni.
25,Breakthrough,40301588,Fox
26,The Intruder (2019),34207166,SGem
27,The Hustle,33195602,UAR
28,Cold Pursuit,32138862,LG/S
29,Dragon Ball Super: Broly,30712119,FUN
30,Long Shot,29929693,LG/S
31,Happy Death Day 2U,28051045,Uni.
32,Rocketman,25000000,Par.
33,Fighting with My Family,22958583,MGM
34,Hellboy (2019),21903748,LG/S
35,Uglydolls,19577197,STX
36,A Dog's Journey,18764470,Uni.
37,Ma (2019),18260000,Uni.
38,Unplanned,18096020,PFR
39,The Kid Who Would be King,16790790,Fox
40,Missing Link,16591303,UAR
41,Miss Bala,15006824,Sony
42,The Prodigy,14856291,Orion
43,Booksmart,14366831,UAR
44,Brightburn,14212552,SGem
45,Poms,13196166,STX
46,After (2019),12137018,Aviron
47,Greta,10519425,Focus
48,The Best of Enemies,10205616,STX
49,Hotel Mumbai,9635910,BST
50,No Manches Frida 2,9270920,PNT
51,Apollo 11,8754844,Neon
52,Serenity (2019),8547045,Aviron
53,Penguins (Disneynature),7591753,BV
54,Run the Race,6424420,RAtt.
55,Captive State,5958315,Focus
56,The Wandering Earth,5875487,CMC
57,Gloria Bell,5611123,A24
58,Gully Boy,5566534,VPD
59,The Mustang,5043620,Focus
60,The Sun Is Also a Star,4902382,WB
61,Tolkien,4433779,FoxS
62,Uri: The Surgical Strike,4186168,PackYourBag
63,Replicas,4046429,ENTMP
64,The Oscar Nominated Short Films 2019,3531094,Shrts.
65,BTS World Tour: Love Yourself in Seoul,3509917,Fathom
66,The Beach Bum,3487204,Neon
67,Kalank,2729336,FIP
68,Everybody Knows,2660165,Focus
69,Arctic,2410795,BST
70,Gone with the Wind (80th Anniversary),2176120,Fathom
71,Total Dhamaal,2167632,FIP
72,The Wizard of Oz 80th Anniversary,2076020,Fathom
73,Badla,1861000,Relbig.
74,Biggest Little Farm,1825163,Neon
75,The Aftermath,1618497,FoxS
76,Extreme Job,1565885,CJ
77,The White Crow,1521333,SPC
78,The Kid (2019),1508593,LGF
79,Red Joan,1501784,IFC
80,El Chicano,1400603,Briarcliff
81,The Pilgrim's Progress,1294596,Fathom
82,Asterix: The Secret of the Magic Potion,1271953,EOne
83,High Life,1225852,A24
84,Kingdom Men Rising,1188936,Fathom
85,Los Domirrique?os 2,1187280,Spanglish
86,Ek Ladki Ko Dekha Toh Aisa Laga,1182636,FIP
87,Luka Chuppi,1042905,VPD
88,NOAH The Musical,1035603,Fathom
89,Perfect Strangers,1014507,PNT
90,Howl's Moving Castle: 15th Anniverary - Studio Ghibli (2019),865647,Fathom
91,TCM: Steel Magnolias 30th Anniversary,855421,Fathom
92,Woman at War,833186,Magn.
93,Climax,817339,A24
94,Transit,809111,MBox
95,Chonda Pierce: Unashamed,787979,Fathom
96,Student of the Year 2,778566,FIP
